coordenadas,id_trayectoria
"(-79.849329,-2.074214)",147
"(-79.863465,-2.137115)",326
"(-79.87502,-2.125784)",187
"(-79.94875,-2.8498484)",254
"(-79.94875,-2.8498484)",14
"(-79.889917,-2.13285)",160
"(-79.895491,-2.163472)",139
"(-79.910287,-2.147659)",374
"(-79.840342,-2.07226)",226
"(-79.894021,-2.180819)",373
"(-79.887,-2.155677)",129
"(-79.871035,-2.12499)",318
"(-79.882755,-2.12331)",442
"(-79.892224,-2.165249)",210
"(-79.877077,-2.12607)",151
"(-79.895564,-2.163739)",451
"(-79.87314,-2.125572)",155
"(-79.869765,-2.114584)",143
"(-79.89439,-2.131165)",149
"(-79.885979,-2.128982)",200
"(-79.889972,-2.160827)",185
"(-79.863284,-2.074464)",145
"(-79.857985,-2.075489)",182
"(-79.883809,-2.132364)",180
"(-79.87237,-2.107532)",224
"(-79.886437,-2.150735)",441
"(-79.895415,-2.132326)",206
"(-79.87385,-2.092972)",137
"(-79.895944,-2.164189)",451
"(-79.873704,-2.090205)",201
"(-79.862535,-2.074657)",176
"(-79.895787,-2.163855)",130
"(-79.868197,-2.073782)",186
"(-79.89579,-2.163849)",198
"(-79.849927,-2.07431)",217
"(-79.901532,-2.09121)",379
"(-79.873872,-2.125662)",205
"(-79.835755,-2.073231)",218
"(-79.957989,-2.190717)",374
"(-79.892179,-2.164519)",318
"(-79.888687,-2.131775)",172
"(-79.886572,-2.149927)",138
"(-79.94875,-2.8498484)",257
"(-79.895444,-2.16345)",207
"(-79.882214,-2.139489)",159
"(-79.883882,-2.127927)",162
"(-79.88441,-2.128357)",156
"(-79.872342,-2.10759)",122
"(-79.834757,-2.072745)",184
"(-79.887974,-2.050585)",390
"(-79.873264,-2.103792)",202
"(-79.873877,-2.093624)",158
"(-79.895787,-2.163857)",210
"(-79.920405,-2.087325)",7
"(-79.841367,-2.072127)",148
"(-79.924089,-2.164314)",352
"(-79.879787,-2.126459)",146
"(-79.872912,-2.105359)",138
"(-79.850302,-2.074424)",202
"(-79.873587,-2.088164)",153
"(-79.88796,-2.157434)",212
"(-79.933851,-2.13492)",386
"(-79.895343,-2.186099)",360
"(-79.89439,-2.131165)",141
