coordenadas,id_trayectoria
"(-79.844514,-2.073464)",170
"(-79.939687,-2.224761)",341
"(-79.873754,-2.08088)",227
"(-79.83659,-2.072739)",139
"(-79.857744,-2.075279)",173
"(-79.955523,-2.087388)",365
"(-79.884945,-2.12871)",182
"(-79.885187,-2.129087)",197
"(-79.886449,-2.150994)",180
"(-79.86998,-2.073525)",132
"(-79.868282,-2.117135)",219
"(-79.886227,-2.152044)",451
"(-79.873732,-2.091267)",452
"(-79.889797,-2.132687)",148
"(-79.91799,-2.170859)",386
"(-79.843802,-2.072897)",390
"(-79.833052,-2.067914)",69
"(-79.871545,-2.1109)",145
"(-79.869327,-2.073614)",151
"(-79.922704,-2.194908)",341
"(-79.871582,-2.110599)",164
"(-79.831842,-2.068549)",185
"(-79.882959,-2.119512)",442
"(-79.870662,-2.113)",182
"(-79.856652,-2.074784)",34
"(-79.8819,-2.136029)",66
"(-79.873714,-2.082087)",162
"(-79.873472,-2.102944)",170
"(-79.833979,-2.070257)",149
"(-79.893189,-2.132259)",163
"(-79.895482,-2.163465)",179
"(-79.885362,-2.128814)",188
"(-79.895075,-2.166875)",26
"(-79.86915,-2.115652)",150
"(-79.872174,-2.125417)",227
"(-79.889972,-2.160827)",203
"(-79.866167,-2.07408)",158
"(-79.84012,-2.072284)",434
"(-79.870882,-2.073392)",157
"(-79.882519,-2.133049)",162
"(-79.894529,-2.167914)",155
"(-79.945854,-2.14082)",392
"(-79.873629,-2.084364)",194
"(-79.8865,-2.150644)",130
"(-79.89258,-2.132032)",169
"(-79.873627,-2.084614)",165
"(-79.894007,-2.167864)",127
"(-79.840342,-2.07226)",130
"(-79.885267,-2.128816)",223
"(-79.827767,-2.18761)",70
"(-79.878817,-2.126324)",131
"(-79.861805,-2.074925)",162
"(-79.837099,-2.072775)",133
"(-79.886342,-2.151592)",123
"(-79.837569,-2.072666)",172
"(-79.889599,-2.160167)",127
"(-79.885362,-2.128814)",197
"(-79.892109,-2.131657)",209
"(-79.873459,-2.102779)",171
"(-79.811084,-2.210451)",70
"(-79.865887,-2.121479)",124
"(-79.8833,-2.127437)",134
"(-79.892215,-2.16506)",144
"(-79.905054,-2.196591)",377
"(-79.894335,-2.13188)",179
"(-79.873539,-2.102401)",158
"(-79.884992,-2.128729)",171
"(-79.87088,-2.124954)",145
"(-79.881912,-2.13789)",211
"(-79.88628,-2.151994)",136
"(-79.873877,-2.093624)",172
"(-79.873759,-2.080704)",158
"(-79.87367,-2.083282)",149
"(-79.873097,-2.104501)",179
"(-79.871539,-2.073302)",166
"(-79.873914,-2.095202)",445
"(-79.866142,-2.121075)",221
"(-79.882397,-2.13029)",452
"(-79.873797,-2.077785)",451
"(-79.843605,-2.072822)",453
"(-79.886342,-2.151592)",137
"(-79.889735,-2.132499)",143
"(-79.886849,-2.130304)",205
"(-79.886035,-2.146927)",136
"(-79.882212,-2.126307)",441
"(-79.892164,-2.164559)",178
"(-79.832715,-2.068405)",195
"(-79.89447,-2.191895)",340
"(-79.87845,-2.126277)",140
"(-79.873964,-2.099289)",145
"(-79.892248,-2.178324)",379
"(-79.886542,-2.149132)",178
"(-79.873782,-2.079609)",142
"(-79.873655,-2.083449)",171
"(-79.868765,-2.123679)",203
"(-79.884904,-2.128685)",172
"(-79.89417,-2.131164)",147
"(-79.872325,-2.073207)",125
"(-79.88214,-2.134549)",127
"(-79.882367,-2.133035)",215
"(-79.833607,-2.067771)",136
"(-79.873627,-2.084614)",136
"(-79.873664,-2.082569)",441
"(-80.159604,-2.268329)",394
"(-79.886164,-2.152672)",188
"(-79.873097,-2.104501)",171
"(-79.87314,-2.125572)",165
"(-79.882519,-2.133049)",125
"(-79.873924,-2.095539)",191
"(-79.873692,-2.082534)",154
"(-79.87385,-2.074427)",147
"(-79.94875,-2.8498484)",259
"(-79.873714,-2.075085)",65
"(-79.883387,-2.141904)",182
"(-79.873452,-2.073025)",393
"(-79.889425,-2.131867)",204
"(-79.873787,-2.078025)",451
"(-79.872312,-2.107769)",141
"(-79.882264,-2.131657)",452
"(-79.88628,-2.151994)",177
"(-79.869919,-2.114217)",133
"(-79.890112,-2.161079)",182
"(-79.884504,-2.128417)",125
"(-79.865904,-2.121512)",227
"(-79.844559,-2.073462)",437
"(-79.841214,-2.07226)",142
"(-79.895139,-2.167352)",200
"(-79.89501,-2.166164)",214
"(-79.866161,-2.12095)",452
"(-79.861119,-2.07519)",224
"(-79.833455,-2.06802)",182
"(-80.223232,-2.293214)",393
"(-79.884935,-2.128701)",141
"(-79.885044,-2.145044)",170
"(-79.883774,-2.11478)",442
"(-79.924595,-2.194882)",371
"(-79.873685,-2.082905)",210
"(-79.883034,-2.12721)",225
"(-79.895557,-2.19037)",450
"(-79.885364,-2.145612)",211
"(-79.882731,-2.12373)",451
"(-79.850462,-2.074436)",394
"(-79.849329,-2.074214)",128
"(-79.873897,-2.075357)",225
"(-79.888805,-2.158887)",452
"(-79.850142,-2.074376)",127
"(-79.8942,-2.13162)",138
"(-79.873719,-2.081902)",123
"(-80.093634,-2.224744)",394
"(-79.873767,-2.101194)",174
"(-79.866294,-2.120792)",210
"(-79.86491,-2.074252)",132
"(-79.895604,-2.163775)",205
"(-79.881065,-2.126624)",162
"(-79.905974,-2.148332)",374
"(-80.121334,-2.241977)",393
"(-79.873722,-2.090514)",186
"(-79.866294,-2.120792)",156
"(-79.886024,-2.129087)",168
"(-79.878817,-2.126324)",158
"(-79.895562,-2.131689)",189
"(-79.841192,-2.072285)",440
"(-79.873547,-2.101997)",44
"(-79.849645,-2.074252)",202
"(-79.872982,-2.073019)",432
"(-79.873472,-2.102944)",195
"(-79.873825,-2.100794)",210
"(-79.875807,-2.125889)",199
"(-79.881732,-2.135467)",61
"(-79.895689,-2.132194)",224
"(-79.896487,-2.185776)",360
"(-79.83532,-2.073277)",169
"(-79.897251,-2.200997)",360
"(-79.870964,-2.112435)",212
"(-79.882157,-2.133017)",452
"(-79.855224,-2.075025)",66
"(-79.884695,-2.128555)",130
"(-79.883914,-2.131322)",152
"(-79.833479,-2.067945)",438
"(-79.870111,-2.113872)",164
"(-79.88394,-2.127972)",194
"(-79.894154,-2.131257)",210
"(-79.873629,-2.084364)",219
"(-79.895087,-2.167916)",166
"(-79.882367,-2.139925)",210
"(-79.886529,-2.148934)",163
"(-79.94875,-2.8498484)",263
"(-79.875504,-2.125842)",441
"(-79.837569,-2.072666)",133
"(-79.88445,-2.128385)",188
"(-79.933694,-2.235372)",375
"(-79.831939,-2.068394)",179
"(-79.89178,-2.164025)",179
"(-79.882119,-2.135036)",328
"(-79.832924,-2.068099)",438
"(-79.88399,-2.128017)",206
"(-79.8833,-2.127437)",148
"(-79.842157,-2.072302)",155
"(-79.87502,-2.125784)",131
"(-79.83368,-2.068087)",125
"(-79.885702,-2.14628)",441
"(-79.866735,-2.122524)",132
"(-79.904432,-2.16074)",375
"(-79.894155,-2.191162)",371
"(-79.885972,-2.129587)",147
"(-79.876757,-2.12602)",194
"(-79.934904,-2.167018)",351
"(-79.872775,-2.12553)",217
"(-79.88445,-2.128385)",192
"(-79.870507,-2.113276)",214
"(-79.839847,-2.072289)",213
"(-79.872594,-2.106589)",22
"(-79.846227,-2.073882)",189
"(-79.865875,-2.12209)",198
"(-79.874027,-2.09673)",452
"(-79.894992,-2.165582)",22
"(-79.910069,-2.18882)",370
"(-79.832015,-2.068374)",196
"(-79.873612,-2.085467)",133
"(-79.895374,-2.163444)",26
"(-79.885697,-2.14616)",318
"(-79.886109,-2.129502)",221
"(-79.89572,-2.132154)",224
"(-79.833672,-2.068964)",152
"(-79.872989,-2.104849)",215
"(-79.873849,-2.092647)",157
"(-79.883809,-2.132364)",211
"(-79.854155,-2.075574)",385
"(-79.94875,-2.8498484)",257
"(-79.88214,-2.134549)",182
"(-79.873754,-2.08088)",133
"(-79.886562,-2.149484)",183
"(-79.83368,-2.067786)",160
"(-79.866452,-2.12049)",158
"(-79.87367,-2.083282)",163
"(-79.894771,-2.181796)",352
"(-79.883669,-2.127749)",184
"(-79.894622,-2.167922)",190
"(-79.891387,-2.13308)",132
"(-79.873827,-2.095514)",160
"(-79.887657,-2.156872)",130
"(-80.117637,-2.239827)",394
"(-79.836499,-2.072835)",204
"(-79.872325,-2.073207)",212
"(-79.883914,-2.131322)",198
"(-79.832452,-2.06892)",122
"(-79.88531,-2.14604)",34
"(-79.840925,-2.072311)",69
"(-79.874052,-2.096922)",182
"(-79.889542,-2.050639)",432
"(-79.92139,-2.195204)",340
"(-79.94875,-2.8498484)",263
"(-79.873194,-2.103902)",451
"(-79.87845,-2.126277)",189
"(-79.89483,-2.130207)",200
"(-79.886635,-2.155077)",173
"(-79.844625,-2.073481)",215
