coordenadas,id_trayectoria
"(-79.873057,-2.104575)",159
"(-79.898712,-2.179464)",481
"(-79.886542,-2.149132)",201
"(-79.886464,-2.150532)",441
"(-79.88565,-2.128797)",178
"(-79.88385,-2.1279)",195
"(-79.873827,-2.095514)",158
"(-79.873827,-2.095514)",127
"(-79.87264,-2.12549)",186
"(-79.886254,-2.152014)",26
"(-79.87183,-2.10958)",140
"(-79.885054,-2.12878)",328
"(-79.873797,-2.073887)",156
"(-80.33032,-2.37615)",394
"(-79.90682,-2.13759)",464
"(-79.9002992,-2.1785922)",647
"(-79.9002992,-2.1785922)",640
"(-79.896572,-2.190805)",477
"(-79.883784,-2.127844)",215
"(-79.868765,-2.123727)",225
"(-79.8929139,-2.1279984)",540
"(-79.873594,-2.102337)",318
"(-79.873897,-2.075037)",163
"(-79.889272,-2.131814)",172
"(-79.896516,-2.17994)",495
"(-79.831939,-2.068394)",176
"(-79.861409,-2.075059)",446
"(-79.881012,-2.12661)",191
"(-79.907422,-2.219261)",360
"(-79.897331,-2.188495)",488
"(-79.895834,-2.132037)",148
"(-79.9002536,-2.178713)",632
"(-79.888355,-2.158042)",154
"(-79.891184,-2.162929)",385
"(-79.83368,-2.067786)",211
"(-79.87365,-2.083755)",155
"(-79.852442,-2.075722)",453
"(-79.900229,-2.1788673)",587
"(-79.868839,-2.1162)",175
"(-79.873762,-2.091422)",123
"(-79.9001221,-2.1788177)",598
"(-79.841009,-2.072269)",145
"(-79.896074,-2.164297)",444
"(-79.893267,-2.167735)",201
"(-79.862535,-2.074657)",222
"(-79.892075,-2.164394)",203
"(-79.94875,-2.8498484)",236
"(-79.882387,-2.140177)",442
"(-79.905421,-2.196497)",468
"(-79.9001738,-2.178858)",579
"(-79.87361,-2.088884)",22
"(-79.83474,-2.07252)",209
"(-79.873655,-2.083441)",161
"(-79.856447,-2.074545)",208
"(-79.886635,-2.155077)",152
"(-79.867939,-2.117805)",446
"(-79.884017,-2.130725)",132
"(-79.897929,-2.176338)",382
"(-79.895689,-2.132194)",149
"(-79.854404,-2.075475)",126
"(-79.948144,-2.165454)",392
"(-79.894997,-2.13209)",208
"(-79.873634,-2.090052)",442
"(-79.867475,-2.118622)",171
"(-79.897015,-2.192262)",467
"(-79.896482,-2.180894)",476
"(-79.876142,-2.125974)",182
"(-79.843744,-2.072927)",438
"(-79.877747,-2.126174)",152
"(-79.885144,-2.128787)",189
"(-79.8970547,-2.1823971)",337
"(-79.913868,-2.174646)",352
"(-79.896413,-2.19024)",468
"(-79.894712,-2.168017)",491
"(-79.89221,-2.166137)",176
"(-79.895502,-2.163495)",167
"(-79.873945,-2.09668)",173
"(-79.850417,-2.074405)",319
"(-79.886509,-2.148784)",200
"(-79.88295,-2.119774)",452
"(-79.836437,-2.07294)",176
"(-79.886254,-2.147539)",319
"(-79.948312,-2.084657)",375
"(-79.840505,-2.072269)",161
"(-79.88397,-2.127999)",154
"(-79.895722,-2.18333)",466
"(-79.971894,-2.06245)",495
"(-79.87845,-2.126277)",130
"(-79.873219,-2.072979)",432
"(-79.870354,-2.113549)",142
"(-79.86669,-2.122455)",165
"(-80.282915,-2.353817)",394
"(-79.872797,-2.105659)",134
"(-79.873772,-2.079901)",319
"(-79.876919,-2.126065)",204
"(-79.922304,-2.166437)",387
"(-79.892202,-2.166365)",227
"(-79.933704,-2.134183)",386
"(-79.895774,-2.163872)",225
"(-80.347867,-2.379947)",393
"(-79.888407,-2.158194)",441
"(-79.833167,-2.068041)",179
"(-79.857289,-2.074922)",184
"(-79.869609,-2.114857)",181
"(-79.855335,-2.07497)",171
"(-79.873767,-2.101194)",204
"(-80.301031,-2.36491)",393
"(-79.899658,-2.235794)",490
"(-79.885979,-2.128982)",207
"(-79.88537,-2.128827)",215
"(-79.894691,-2.166837)",451
"(-79.836374,-2.171355)",70
"(-79.83306,-2.067959)",160
"(-79.889642,-2.132057)",393
"(-79.892189,-2.166569)",22
"(-79.897157,-2.179354)",331
"(-79.850795,-2.074675)",205
"(-79.871582,-2.110599)",151
"(-79.896181,-2.181708)",352
"(-79.9001221,-2.1788177)",598
"(-79.88585,-2.14654)",167
"(-79.874105,-2.125644)",451
"(-79.870242,-2.073489)",193
"(-79.897106,-2.16403)",463
"(-79.845984,-2.073861)",197
"(-79.882767,-2.133074)",159
"(-79.874062,-2.097447)",207
"(-79.868131,-2.117399)",148
"(-79.873584,-2.087687)",442
"(-79.841792,-2.071989)",192
"(-79.9002197,-2.1788211)",576
"(-79.895784,-2.163865)",204
"(-79.861119,-2.07519)",133
"(-79.873654,-2.083526)",153
"(-79.874024,-2.098964)",393
"(-79.895022,-2.16544)",129
"(-79.834189,-2.070784)",209
"(-80.305174,-2.367312)",393
"(-79.887562,-2.156684)",133
"(-79.871747,-2.109927)",181
"(-79.882502,-2.126879)",135
"(-79.9002992,-2.1785922)",647
"(-80.263954,-2.328959)",393
"(-79.899598,-2.190854)",370
"(-79.871032,-2.125045)",408
"(-79.897154,-2.180057)",480
"(-79.87385,-2.074427)",191
"(-79.903484,-2.16959)",374
"(-79.858902,-2.075895)",329
"(-79.872981,-2.10506)",155
"(-79.894125,-2.131484)",173
"(-79.9002992,-2.1785922)",640
"(-79.891394,-2.132945)",178
"(-79.9001677,-2.1788777)",620
"(-79.867134,-2.11926)",199
"(-79.869074,-2.123867)",160
"(-79.895792,-2.16382)",144
"(-79.867817,-2.117985)",149
"(-79.873829,-2.07414)",138
"(-79.882999,-2.14119)",164
"(-79.929355,-2.198205)",376
"(-79.871437,-2.11123)",171
"(-79.982024,-2.05946)",495
"(-79.907296,-2.188154)",486
"(-79.873635,-2.084136)",154
"(-79.838464,-2.170056)",485
"(-79.894447,-2.167897)",189
"(-79.892175,-2.131674)",182
"(-79.882995,-2.117324)",451
"(-79.897205,-2.192889)",468
"(-79.873877,-2.09512)",442
"(-79.8957,-2.129125)",179
"(-79.860472,-2.075446)",149
"(-79.886454,-2.148555)",59
"(-79.892137,-2.166584)",379
"(-79.871682,-2.021119)",494
"(-79.883932,-2.127965)",226
"(-79.87395,-2.09636)",441
"(-79.890407,-2.16159)",204
"(-79.895857,-2.182427)",477
"(-79.885267,-2.128816)",130
"(-79.891899,-2.097099)",495
"(-79.89267,-2.16684)",221
"(-79.862662,-2.074622)",58
"(-79.873707,-2.082427)",453
"(-79.88259,-2.125463)",495
"(-79.893254,-2.167484)",207
"(-79.895675,-2.163655)",410
"(-79.892764,-2.132155)",186
"(-79.881997,-2.136235)",186
"(-79.860792,-2.075319)",183
"(-79.94875,-2.8498484)",20
"(-79.885129,-2.12888)",435
"(-79.933224,-2.113297)",482
"(-79.9002484,-2.1786716)",562
"(-79.875544,-2.125832)",394
"(-79.845257,-2.073709)",218
"(-79.853037,-2.07585)",211
"(-79.873834,-2.074877)",318
"(-79.873572,-2.102549)",148
"(-79.946179,-2.138309)",375
"(-79.838612,-2.072464)",440
"(-79.881012,-2.12661)",225
"(-79.845638,-2.163361)",485
"(-79.896151,-2.185076)",465
"(-79.872059,-2.108897)",183
"(-79.872595,-2.106524)",141
"(-79.833107,-2.068005)",209
"(-79.894647,-2.184628)",468
"(-79.873582,-2.086432)",202
"(-79.871742,-2.110242)",436
"(-79.90961,-2.218952)",361
"(-79.880037,-2.166787)",494
"(-79.898832,-2.252579)",347
"(-79.893169,-2.166832)",135
"(-79.956984,-2.223589)",375
"(-79.834604,-2.072007)",181
"(-79.9002992,-2.1785922)",640
"(-79.892109,-2.131657)",183
"(-79.873655,-2.083445)",193
"(-79.898354,-2.157752)",366
"(-79.886582,-2.149546)",319
"(-79.873679,-2.089425)",436
"(-79.886545,-2.14917)",169
"(-79.886574,-2.150264)",67
"(-79.847872,-2.074062)",219
"(-79.9002992,-2.1785922)",646
"(-79.873622,-2.085164)",164
"(-79.948805,-2.119932)",391
"(-79.871539,-2.073302)",166
"(-79.832809,-2.068402)",137
"(-79.842837,-2.072532)",188
"(-79.873884,-2.076659)",445
"(-79.845504,-2.073812)",58
"(-79.886529,-2.148934)",173
"(-79.9002992,-2.1785922)",640
"(-79.873885,-2.07604)",217
"(-79.866206,-2.120855)",154
"(-79.866341,-2.12225)",451
"(-79.934996,-2.104455)",481
"(-79.838705,-2.072447)",176
"(-79.898634,-2.17301)",382
"(-79.895689,-2.132194)",165
"(-79.868379,-2.11694)",26
"(-79.873697,-2.101605)",184
"(-79.886542,-2.149144)",126
"(-79.857744,-2.075279)",199
"(-79.874059,-2.098315)",438
"(-79.894889,-2.180506)",372
"(-79.875432,-2.125839)",186
"(-79.896889,-2.180439)",332
"(-79.900461,-2.241509)",347
"(-79.877045,-2.126102)",446
"(-79.883602,-2.133164)",128
"(-79.9001503,-2.1788022)",621
"(-79.872592,-2.106587)",173
"(-80.370416,-2.403574)",394
"(-79.89863,-2.20537)",361
"(-79.87386,-2.076772)",159
"(-79.883347,-2.127477)",214
"(-79.895339,-2.163535)",452
"(-79.894412,-2.130732)",187
"(-79.918823,-2.201677)",467
"(-79.841149,-2.072266)",215
"(-79.884619,-2.129514)",154
"(-79.842157,-2.072302)",180
"(-79.9002992,-2.1785922)",643
"(-79.890259,-2.161344)",203
"(-79.834262,-2.071007)",216
"(-79.895609,-2.164224)",319
"(-79.88399,-2.128017)",182
"(-79.8942,-2.13162)",123
"(-79.9002992,-2.1785922)",645
"(-79.894007,-2.167864)",223
"(-79.884764,-2.129329)",144
"(-79.8804441,-2.1891804)",533
"(-79.9002992,-2.1785922)",647
"(-79.882502,-2.126879)",153
"(-79.9002992,-2.1785922)",647
"(-79.843087,-2.072619)",189
"(-79.895147,-2.167914)",59
"(-79.873795,-2.093492)",442
"(-79.868995,-2.115925)",165
"(-79.84446,-2.073425)",148
"(-79.895697,-2.13215)",224
"(-79.895834,-2.132037)",173
"(-79.896572,-2.190805)",476
"(-79.9002536,-2.178713)",632
"(-79.886264,-2.154099)",144
"(-79.885347,-2.128825)",175
"(-79.895182,-2.167702)",218
"(-79.840505,-2.072269)",204
"(-79.895542,-2.129331)",149
"(-79.844766,-2.073449)",178
"(-79.897449,-2.183174)",354
"(-79.895792,-2.16382)",153
"(-79.879285,-2.053801)",432
"(-79.892252,-2.151227)",480
"(-79.88445,-2.128385)",135
"(-79.885687,-2.146229)",215
"(-79.873937,-2.095549)",206
"(-79.883395,-2.127517)",197
"(-79.889895,-2.147817)",479
"(-79.860169,-2.075569)",198
"(-79.850467,-2.074472)",204
"(-79.866167,-2.07408)",166
"(-79.873749,-2.081172)",162
"(-79.832895,-2.068292)",195
"(-79.884715,-2.128565)",203
"(-79.834744,-2.072677)",69
"(-79.873974,-2.09816)",206
"(-79.898527,-2.170445)",331
"(-79.893267,-2.167735)",176
"(-79.852352,-2.075757)",147
"(-79.887339,-2.156287)",218
"(-79.8804441,-2.1891804)",532
"(-79.841304,-2.072215)",194
"(-79.83368,-2.068087)",211
"(-79.86859,-2.073725)",158
"(-79.88509,-2.128772)",137
"(-79.8929668,-2.1280313)",553
"(-79.834085,-2.070791)",34
"(-79.886525,-2.15047)",195
"(-79.896343,-2.181269)",352
"(-79.89566,-2.195768)",340
"(-79.895484,-2.164419)",169
"(-79.904739,-2.221155)",361
"(-79.878442,-2.126274)",144
"(-79.893912,-2.131994)",142
"(-79.897591,-2.160217)",61
"(-79.869095,-2.035512)",494
"(-79.902686,-2.167043)",472
"(-79.895562,-2.131689)",125
"(-79.886454,-2.151002)",318
"(-79.892219,-2.166789)",138
"(-79.886475,-2.150829)",26
"(-79.869737,-2.114602)",328
"(-79.88545,-2.129286)",170
"(-79.86655,-2.120189)",162
"(-79.883749,-2.13299)",143
"(-79.88591,-2.129575)",175
"(-79.901333,-2.206622)",357
"(-79.900229,-2.1788673)",587
"(-79.9002992,-2.1785922)",647
"(-79.87399,-2.095945)",139
"(-79.867694,-2.12301)",169
"(-79.873827,-2.095514)",225
"(-79.891669,-2.132129)",142
"(-79.873829,-2.095449)",123
"(-80.160409,-2.268512)",394
"(-79.83374,-2.070137)",453
"(-79.894392,-2.167901)",442
"(-79.901985,-2.165092)",375
"(-79.88796,-2.157434)",221
"(-79.873674,-2.089895)",177
"(-79.895789,-2.16385)",153
"(-79.895459,-2.163469)",221
"(-79.900229,-2.1788673)",587
"(-79.88427,-2.128245)",210
"(-79.9002992,-2.1785922)",646
"(-79.934056,-2.109287)",482
"(-79.891129,-2.162897)",451
"(-79.858189,-2.075689)",440
"(-79.803519,-2.168881)",458
"(-79.89516,-2.165004)",189
"(-79.90002814,-2.17868272)",624
"(-79.9044,-2.160855)",374
"(-79.895052,-2.166435)",182
"(-79.91478,-2.218386)",361
"(-79.872126,-2.108595)",193
"(-79.886542,-2.149144)",213
"(-79.892957,-2.166754)",452
"(-79.8833,-2.127437)",132
"(-79.836902,-2.072752)",194
"(-79.889422,-2.159924)",67
"(-79.884334,-2.143557)",451
"(-79.872981,-2.10506)",126
"(-79.881065,-2.126624)",195
"(-79.834864,-2.073139)",222
"(-79.885307,-2.128822)",150
"(-79.9002383,-2.1788564)",622
"(-79.85698,-2.074721)",121
"(-79.886164,-2.152672)",173
"(-79.877312,-2.126122)",148
"(-79.873602,-2.088474)",454
"(-79.867817,-2.117985)",208
"(-79.894219,-2.131159)",123
"(-79.892242,-2.131734)",132
"(-79.896211,-2.165085)",59
"(-79.873694,-2.082379)",166
"(-79.873744,-2.080316)",451
"(-79.915008,-2.12874)",483
"(-79.893252,-2.167702)",205
"(-79.916463,-2.219053)",361
"(-79.9001221,-2.1788177)",598
"(-79.895322,-2.187472)",477
"(-79.909867,-2.198919)",468
"(-79.856599,-2.074644)",445
"(-79.896639,-2.185275)",466
"(-79.875375,-2.125867)",177
"(-79.883727,-2.142415)",328
"(-79.884499,-2.128419)",145
"(-79.895694,-2.188049)",467
"(-79.875375,-2.125867)",161
"(-79.843087,-2.072619)",185
"(-79.862904,-2.074539)",130
"(-79.94875,-2.8498484)",254
"(-79.89229,-2.166819)",214
"(-79.883834,-2.142567)",408
"(-79.888669,-2.131774)",200
"(-79.83411,-2.070745)",63
"(-79.876545,-2.126025)",407
"(-79.833672,-2.069959)",152
"(-79.89501,-2.166164)",225
